Date,Time,Vehicle,Place,Reason,Position,Description,Datetime,Temperature (C),Humidity (%),Precipitation (mm),Wind Speed (km/h),Latitude,Longitude,ts,hour,dow,is_weekend,is_wet,lat_bin,lon_bin,segment_id,is_speed_reason,SPI_smoothed
2020.01.06,08:00:00,Car,Rampadeniya 51/6 Culvert,Slipped,"6.997421, 80.477024",Turn over,2020-01-06 08:00:00,23.6,67,0.0,2.9,6.997421,80.477024,2020-01-06 08:00:00,8,0,0,0,6.997,80.477,6.997_80.477,0,0.35071806500377933
2020.01.07,14:30:00,Lorry,Millagahamula,Mechanical Error,"6.990092, 80.456055",hit a electricity tower,2020-01-07 14:30:00,25.8,74,0.7,6.9,6.990092,80.456055,2020-01-07 14:30:00,14,1,0,1,6.99,80.456,6.99_80.456,0,0.35071806500377933
2020.01.10,20:05:00,Bus,Diyagala 57/9 Culvert,Excessive Speed,"6.955723, 80.527169",hit a fence,2020-01-10 20:05:00,20.9,95,0.0,5.1,6.955723,80.527169,2020-01-10 20:05:00,20,4,0,0,6.956,80.527,6.956_80.527,1,0.39833711262282695
2020.01.14,08:15:00,Bus,57km Mark In Hatton Road,Excessive Speed,"6.969302, 80.513117",accident,2020-01-14 08:15:00,22.9,66,0.0,2.9,6.969302,80.513117,2020-01-14 08:15:00,8,1,0,0,6.969,80.513,6.969_80.513,1,0.39833711262282695
2020.01.18,06:05:00,Van / Motor Cycle,Millagahamula 48/4 Culvert,Slipped,"6.991344, 80.460638",Turn over,2020-01-18 06:05:00,19.4,86,0.0,4.1,6.991344,80.460638,2020-01-18 06:05:00,6,5,1,0,6.991,80.461,6.991_80.461,0,0.35071806500377933
2020.01.19,12:35:00,Bus,Ginigathena Hospital,Excessive Speed,"6.9924, 80.4886",Hit ambulance,2020-01-19 12:35:00,27.1,73,0.2,12.5,6.9924,80.4886,2020-01-19 12:35:00,12,6,1,1,6.992,80.489,6.992_80.489,1,0.38023088023088025
2020.01.22,09:30:00,Cab,Pahalakadawala 51/1 Culvert,Slipped,"6.995617, 80.479441",cab/three wheeler,2020-01-22 09:30:00,25.6,79,0.4,3.1,6.995617,80.479441,2020-01-22 09:30:00,9,2,0,1,6.996,80.479,6.996_80.479,0,0.35071806500377933
2020.01.23,09:30:00,Lorry,Rampadeniya 51/13 Culvert,Slipped,"6.996108, 80.480101",Turn over,2020-01-23 09:30:00,25.3,83,0.2,6.9,6.996108,80.480101,2020-01-23 09:30:00,9,3,0,1,6.996,80.48,6.996_80.48,0,0.35071806500377933
2020.02.01,17:10:00,Lorry,Bagathuluwa 11/4 Culvert,Mechanical Error,"6.999472, 80.490629",Brake failure,2020-02-01 17:10:00,25.5,66,0.0,4.3,6.999472,80.490629,2020-02-01 17:10:00,17,5,1,0,6.999,80.491,6.999_80.491,0,0.35071806500377933
2020.02.06,14:55:00,Three Wheeler,Ambagamuwa Temple,Excessive Speed,"7.0190, 80.4938",hit a pedestrian,2020-02-06 14:55:00,28.7,49,0.0,6.1,7.019,80.4938,2020-02-06 14:55:00,14,3,0,0,7.019,80.494,7.019_80.494,1,0.39833711262282695
2020.02.14,10:45:00,Motor Cycle,Millagahamula Bridge,Slipped,"6.9913, 80.4618",Fell on curve,2020-02-14 10:45:00,24.4,80,0.0,7.3,6.9913,80.4618,2020-02-14 10:45:00,10,4,0,0,6.991,80.462,6.991_80.462,0,0.35071806500377933
2020.02.19,18:20:00,Motor Cycle,Millagahamula 47/3 Culvert,Slipped,"6.991582, 80.461527",fell on curve,2020-02-19 18:20:00,23.6,77,0.0,6.3,6.991582,80.461527,2020-02-19 18:20:00,18,2,0,0,6.992,80.462,6.992_80.462,0,0.35071806500377933
2020.02.27,21:20:00,Three Wheeler,Ambagamuwa Temple,Excessive Speed,"7.0189, 80.4938",Hit cyclist,2020-02-27 21:20:00,21.8,93,0.1,4.0,7.0189,80.4938,2020-02-27 21:20:00,21,3,0,0,7.019,80.494,7.019_80.494,1,0.39833711262282695
2020.03.04,11:45:00,Van,Ginigathena Police Station,Excessive Speed,"6.9890, 80.4941",collision with car,2020-03-04 11:45:00,27.2,67,0.1,7.8,6.989,80.4941,2020-03-04 11:45:00,11,2,0,0,6.989,80.494,6.989_80.494,1,0.39833711262282695
2020.03.05,11:45:00,Motor Cycle,Millagahamula Bridge,Slipped,"6.9913, 80.4618",Turn over,2020-03-05 11:45:00,27.6,61,0.0,6.6,6.9913,80.4618,2020-03-05 11:45:00,11,3,0,0,6.991,80.462,6.991_80.462,0,0.35071806500377933
2020.03.11,14:55:00,Van,Kithulvila Hotel,Slipped,"6.9939, 80.4469",Turn over,2020-03-11 14:55:00,27.9,64,0.1,7.3,6.9939,80.4469,2020-03-11 14:55:00,14,2,0,0,6.994,80.447,6.994_80.447,0,0.35071806500377933
2020.03.17,16:10:00,Car,Kadawala School,Slipped,"6.9775, 80.5040",skidded on mud,2020-03-17 16:10:00,25.1,85,0.0,7.4,6.9775,80.504,2020-03-17 16:10:00,16,1,0,0,6.978,80.504,6.978_80.504,0,0.35071806500377933
2020.03.17,16:45:00,Three Wheeler / Foot Cycle,Ambagamuwa Temple,Excessive Speed,"7.0189, 80.4938",accident,2020-03-17 16:45:00,25.1,85,0.0,7.4,7.0189,80.4938,2020-03-17 16:45:00,16,1,0,0,7.019,80.494,7.019_80.494,1,0.39833711262282695
2020.03.20,18:40:00,Car,Ambagamuwa 9/4 Culvert,Excessive Speed,"7.016803, 80.492307",Turn over,2020-03-20 18:40:00,22.7,93,0.0,2.7,7.016803,80.492307,2020-03-20 18:40:00,18,4,0,0,7.017,80.492,7.017_80.492,1,0.39833711262282695
2020.03.24,07:30:00,Car,44km Mark On Ht-colombo Rd,Excessive Speed,"6.993788, 80.445966",Lost control,2020-03-24 07:30:00,20.6,70,0.0,4.4,6.993788,80.445966,2020-03-24 07:30:00,7,1,0,0,6.994,80.446,6.994_80.446,1,0.39833711262282695
2020.04.01,21:35:00,Bus,Pitawala Junction,Excessive Speed,"6.9942, 80.4497",hit a barrier,2020-04-01 21:35:00,21.5,86,0.0,3.4,6.9942,80.4497,2020-04-01 21:35:00,21,2,0,0,6.994,80.45,6.994_80.45,1,0.39833711262282695
2020.04.06,16:05:00,Bus,Diyagala 57/8 Culvert,Slipped,"6.978656, 80.503532",Skidded on wet road,2020-04-06 16:05:00,25.2,88,0.1,4.7,6.978656,80.503532,2020-04-06 16:05:00,16,0,0,0,6.979,80.504,6.979_80.504,0,0.35071806500377933
2020.04.14,08:00:00,Lorry,Ambagamuwa 9/8 Culvert,Mechanical Error,"7.0190, 80.4938",steering failure,2020-04-14 08:00:00,25.0,83,0.0,3.9,7.019,80.4938,2020-04-14 08:00:00,8,1,0,0,7.019,80.494,7.019_80.494,0,0.35071806500377933
2020.04.16,12:00:00,Three Wheeler / Lorry,Jeewani Motors,Mechanical Error,"6.998272, 80.467324",accident - 2 three wheelers,2020-04-16 12:00:00,26.7,75,0.1,3.8,6.998272,80.467324,2020-04-16 12:00:00,12,3,0,0,6.998,80.467,6.998_80.467,0,0.35071806500377933
2020.04.19,09:40:00,Lorry,Ranjurawa 49/4 Culvert,Excessive Speed,"6.994455, 80.465674",Hit electricity pole,2020-04-19 09:40:00,26.4,74,0.0,3.8,6.994455,80.465674,2020-04-19 09:40:00,9,6,1,0,6.994,80.466,6.994_80.466,1,0.39833711262282695
2020.04.27,13:25:00,Three Wheeler,Ginigathena Market,Slipped,"6.9889, 80.4921",Turn over,2020-04-27 13:25:00,28.4,69,0.0,8.4,6.9889,80.4921,2020-04-27 13:25:00,13,0,0,0,6.989,80.492,6.989_80.492,0,0.35071806500377933
2020.05.02,22:15:00,Motor Cycle,Ginigathena Temple,Slipped,"6.9887, 80.4948",Fell on wet road,2020-05-02 22:15:00,22.1,90,0.1,1.9,6.9887,80.4948,2020-05-02 22:15:00,22,5,1,0,6.989,80.495,6.989_80.495,0,0.35071806500377933
2020.05.10,17:50:00,Motor Cycle,Badupola 50km Marker,Excessive Speed,"6.9985, 80.4758",hit a dog,2020-05-10 17:50:00,23.8,93,0.2,1.4,6.9985,80.4758,2020-05-10 17:50:00,17,6,1,1,6.998,80.476,6.998_80.476,1,0.39833711262282695
2020.05.15,13:50:00,Three Wheeler,Arogya Medical Center,Excessive Speed,"6.9896, 80.4917",Hit pedestrian,2020-05-15 13:50:00,24.3,91,1.5,7.4,6.9896,80.4917,2020-05-15 13:50:00,13,4,0,1,6.99,80.492,6.99_80.492,1,0.39833711262282695
2020.05.18,15:30:00,Three Wheeler,Kithulvila Hotel,Excessive Speed,"6.993901, 80.446952",turn over,2020-05-18 15:30:00,23.3,96,3.8,6.4,6.993901,80.446952,2020-05-18 15:30:00,15,0,0,1,6.994,80.447,6.994_80.447,1,0.39833711262282695
2020.05.23,10:15:00,Van,Diyagala 56/5 Culvert,Slipped,"6.977957, 80.503856",skidded on oil,2020-05-23 10:15:00,25.0,93,0.2,6.3,6.977957,80.503856,2020-05-23 10:15:00,10,5,1,1,6.978,80.504,6.978_80.504,0,0.35071806500377933
2020.05.28,18:25:00,Van,Kalugala Maha Vidyalaya,Slipped,"6.9945, 80.4471",Turn over,2020-05-28 18:25:00,22.3,96,0.1,8.4,6.9945,80.4471,2020-05-28 18:25:00,18,3,0,0,6.994,80.447,6.994_80.447,0,0.35071806500377933
