ts,Date,Time,Latitude,Longitude,lat_bin,lon_bin,segment_id,Vehicle,Place,Position,Reason,Description,Temperature (C),Humidity (%),Precipitation (mm),Wind Speed (km/h),hour,dow,is_weekend,is_wet,is_speed_reason,SPI_smoothed
2020-01-06 08:00:00,2020.01.06,08:00:00,6.997421,80.477024,6.997,80.477,6.997_80.477,Car,Rampadeniya 51/6 Culvert,"6.997421, 80.477024",Slipped,Turn over,23.6,67,0.0,2.9,8,0,0,0,0,0.35071806500377933
2020-01-07 14:30:00,2020.01.07,14:30:00,6.990092,80.456055,6.99,80.456,6.99_80.456,Lorry,Millagahamula,"6.990092, 80.456055",Mechanical Error,hit a electricity tower,25.8,74,0.7,6.9,14,1,0,1,0,0.35071806500377933
2020-01-10 20:05:00,2020.01.10,20:05:00,6.955723,80.527169,6.956,80.527,6.956_80.527,Bus,Diyagala 57/9 Culvert,"6.955723, 80.527169",Excessive Speed,hit a fence,20.9,95,0.0,5.1,20,4,0,0,1,0.39833711262282695
2020-01-14 08:15:00,2020.01.14,08:15:00,6.969302,80.513117,6.969,80.513,6.969_80.513,Bus,57km Mark In Hatton Road,"6.969302, 80.513117",Excessive Speed,accident,22.9,66,0.0,2.9,8,1,0,0,1,0.39833711262282695
2020-01-18 06:05:00,2020.01.18,06:05:00,6.991344,80.460638,6.991,80.461,6.991_80.461,Van / Motor Cycle,Millagahamula 48/4 Culvert,"6.991344, 80.460638",Slipped,Turn over,19.4,86,0.0,4.1,6,5,1,0,0,0.35071806500377933
2020-01-19 12:35:00,2020.01.19,12:35:00,6.9924,80.4886,6.992,80.489,6.992_80.489,Bus,Ginigathena Hospital,"6.9924, 80.4886",Excessive Speed,Hit ambulance,27.1,73,0.2,12.5,12,6,1,1,1,0.38023088023088025
2020-01-22 09:30:00,2020.01.22,09:30:00,6.995617,80.479441,6.996,80.479,6.996_80.479,Cab,Pahalakadawala 51/1 Culvert,"6.995617, 80.479441",Slipped,cab/three wheeler,25.6,79,0.4,3.1,9,2,0,1,0,0.35071806500377933
2020-01-23 09:30:00,2020.01.23,09:30:00,6.996108,80.480101,6.996,80.48,6.996_80.48,Lorry,Rampadeniya 51/13 Culvert,"6.996108, 80.480101",Slipped,Turn over,25.3,83,0.2,6.9,9,3,0,1,0,0.35071806500377933
2020-02-01 17:10:00,2020.02.01,17:10:00,6.999472,80.490629,6.999,80.491,6.999_80.491,Lorry,Bagathuluwa 11/4 Culvert,"6.999472, 80.490629",Mechanical Error,Brake failure,25.5,66,0.0,4.3,17,5,1,0,0,0.35071806500377933
2020-02-06 14:55:00,2020.02.06,14:55:00,7.019,80.4938,7.019,80.494,7.019_80.494,Three Wheeler,Ambagamuwa Temple,"7.0190, 80.4938",Excessive Speed,hit a pedestrian,28.7,49,0.0,6.1,14,3,0,0,1,0.39833711262282695
2020-02-14 10:45:00,2020.02.14,10:45:00,6.9913,80.4618,6.991,80.462,6.991_80.462,Motor Cycle,Millagahamula Bridge,"6.9913, 80.4618",Slipped,Fell on curve,24.4,80,0.0,7.3,10,4,0,0,0,0.35071806500377933
2020-02-19 18:20:00,2020.02.19,18:20:00,6.991582,80.461527,6.992,80.462,6.992_80.462,Motor Cycle,Millagahamula 47/3 Culvert,"6.991582, 80.461527",Slipped,fell on curve,23.6,77,0.0,6.3,18,2,0,0,0,0.35071806500377933
2020-02-27 21:20:00,2020.02.27,21:20:00,7.0189,80.4938,7.019,80.494,7.019_80.494,Three Wheeler,Ambagamuwa Temple,"7.0189, 80.4938",Excessive Speed,Hit cyclist,21.8,93,0.1,4.0,21,3,0,0,1,0.39833711262282695
2020-03-04 11:45:00,2020.03.04,11:45:00,6.989,80.4941,6.989,80.494,6.989_80.494,Van,Ginigathena Police Station,"6.9890, 80.4941",Excessive Speed,collision with car,27.2,67,0.1,7.8,11,2,0,0,1,0.39833711262282695
2020-03-05 11:45:00,2020.03.05,11:45:00,6.9913,80.4618,6.991,80.462,6.991_80.462,Motor Cycle,Millagahamula Bridge,"6.9913, 80.4618",Slipped,Turn over,27.6,61,0.0,6.6,11,3,0,0,0,0.35071806500377933
2020-03-11 14:55:00,2020.03.11,14:55:00,6.9939,80.4469,6.994,80.447,6.994_80.447,Van,Kithulvila Hotel,"6.9939, 80.4469",Slipped,Turn over,27.9,64,0.1,7.3,14,2,0,0,0,0.35071806500377933
2020-03-17 16:10:00,2020.03.17,16:10:00,6.9775,80.504,6.978,80.504,6.978_80.504,Car,Kadawala School,"6.9775, 80.5040",Slipped,skidded on mud,25.1,85,0.0,7.4,16,1,0,0,0,0.35071806500377933
2020-03-17 16:45:00,2020.03.17,16:45:00,7.0189,80.4938,7.019,80.494,7.019_80.494,Three Wheeler / Foot Cycle,Ambagamuwa Temple,"7.0189, 80.4938",Excessive Speed,accident,25.1,85,0.0,7.4,16,1,0,0,1,0.39833711262282695
2020-03-20 18:40:00,2020.03.20,18:40:00,7.016803,80.492307,7.017,80.492,7.017_80.492,Car,Ambagamuwa 9/4 Culvert,"7.016803, 80.492307",Excessive Speed,Turn over,22.7,93,0.0,2.7,18,4,0,0,1,0.39833711262282695
2020-03-24 07:30:00,2020.03.24,07:30:00,6.993788,80.445966,6.994,80.446,6.994_80.446,Car,44km Mark On Ht-colombo Rd,"6.993788, 80.445966",Excessive Speed,Lost control,20.6,70,0.0,4.4,7,1,0,0,1,0.39833711262282695
