feature,importance
is_speed_reason,0.7832236886024475
Reason_Excessive Speed,0.16233715415000916
description_hash_338,0.005407977383583784
dow,0.0035351640544831753
description_hash_181,0.002707480452954769
timestamp,0.0025168468710035086
Reason_Slipped,0.0021512056700885296
Latitude,0.0019467751262709498
description_hash_55,0.0019362680613994598
Vehicle_Three Wheeler,0.0019330878276377916
Vehicle_Van,0.0019074348965659738
Temperature (C),0.0017229093937203288
Longitude,0.001694709062576294
hour,0.0016665387665852904
Vehicle_Motor Cycle,0.001604245277121663
description_hash_54,0.0013729725033044815
lat_bin,0.0013476988533511758
segment_id_6.979_80.504,0.00131629453971982
Wind Speed (km/h),0.0013134379405528307
Precipitation (mm),0.0013017102610319853
Place_Ambagamuwa Temple,0.0012890830403193831
Vehicle_Lorry,0.0012710493756458163
description_hash_44,0.0012437338009476662
description_hash_439,0.0012274807086214423
description_hash_321,0.001120543573051691
Humidity (%),0.001105303643271327
Place_Ginigathena Hospital,0.0010818787850439548
lon_bin,0.0010688912589102983
description_hash_152,0.0010364840272814035
description_hash_296,0.0010278027039021254
